Report #2 for 10000 inserts.
Iteration #256. Elapsed time 0seconds.
Iteration #257. Elapsed time 0seconds.
Iteration #258. Elapsed time 0seconds.
Iteration #259. Elapsed time 0seconds.
Iteration #260. Elapsed time 0seconds.
Iteration #261. Elapsed time 0seconds.
Iteration #262. Elapsed time 0seconds.
Iteration #263. Elapsed time 0seconds.
Iteration #264. Elapsed time 0seconds.
Iteration #265. Elapsed time 0seconds.
Iteration #266. Elapsed time 0seconds.
Iteration #267. Elapsed time 0seconds.
Iteration #268. Elapsed time 0seconds.
Iteration #269. Elapsed time 0seconds.
Iteration #270. Elapsed time 0seconds.
Iteration #271. Elapsed time 0seconds.
Iteration #272. Elapsed time 0seconds.
Iteration #273. Elapsed time 0seconds.
Iteration #274. Elapsed time 0seconds.
Iteration #275. Elapsed time 0seconds.
Iteration #276. Elapsed time 0seconds.
Iteration #277. Elapsed time 0seconds.
Iteration #278. Elapsed time 0seconds.
Iteration #279. Elapsed time 0seconds.
Iteration #280. Elapsed time 0seconds.
Iteration #281. Elapsed time 0seconds.
Iteration #282. Elapsed time 0seconds.
Iteration #283. Elapsed time 0seconds.
Iteration #284. Elapsed time 0seconds.
Iteration #285. Elapsed time 0seconds.
Iteration #286. Elapsed time 0seconds.
Iteration #287. Elapsed time 0seconds.
Iteration #288. Elapsed time 0seconds.
Iteration #289. Elapsed time 0seconds.
Iteration #290. Elapsed time 0seconds.
Iteration #291. Elapsed time 0seconds.
Iteration #292. Elapsed time 0seconds.
Iteration #293. Elapsed time 0seconds.
Iteration #294. Elapsed time 0seconds.
Iteration #295. Elapsed time 0seconds.
Iteration #296. Elapsed time 0seconds.
Iteration #297. Elapsed time 0seconds.
Iteration #298. Elapsed time 0seconds.
Iteration #299. Elapsed time 0seconds.
Iteration #300. Elapsed time 0seconds.
Iteration #301. Elapsed time 0seconds.
Iteration #302. Elapsed time 0seconds.
Iteration #303. Elapsed time 0seconds.
Iteration #304. Elapsed time 0seconds.
Iteration #305. Elapsed time 0seconds.
Iteration #306. Elapsed time 0seconds.
Iteration #307. Elapsed time 0seconds.
Iteration #308. Elapsed time 0seconds.
Iteration #309. Elapsed time 0seconds.
Iteration #310. Elapsed time 0seconds.
Iteration #311. Elapsed time 0seconds.
Iteration #312. Elapsed time 0seconds.
Iteration #313. Elapsed time 0seconds.
Iteration #314. Elapsed time 0seconds.
Iteration #315. Elapsed time 0seconds.
Iteration #316. Elapsed time 0seconds.
Iteration #317. Elapsed time 0seconds.
Iteration #318. Elapsed time 0seconds.
Iteration #319. Elapsed time 0seconds.
Iteration #320. Elapsed time 0seconds.
Iteration #321. Elapsed time 0seconds.
Iteration #322. Elapsed time 0seconds.
Iteration #323. Elapsed time 0seconds.
Iteration #324. Elapsed time 0seconds.
Iteration #325. Elapsed time 0seconds.
Iteration #326. Elapsed time 0seconds.
Iteration #327. Elapsed time 0seconds.
Iteration #328. Elapsed time 0seconds.
Iteration #329. Elapsed time 0seconds.
Iteration #330. Elapsed time 0seconds.
Iteration #331. Elapsed time 0seconds.
Iteration #332. Elapsed time 0seconds.
Iteration #333. Elapsed time 0seconds.
Iteration #334. Elapsed time 0seconds.
Iteration #335. Elapsed time 0seconds.
Iteration #336. Elapsed time 0seconds.
Iteration #337. Elapsed time 0seconds.
Iteration #338. Elapsed time 0seconds.
Iteration #339. Elapsed time 0seconds.
Iteration #340. Elapsed time 0seconds.
Iteration #341. Elapsed time 0seconds.
Iteration #342. Elapsed time 0seconds.
Iteration #343. Elapsed time 0seconds.
Iteration #344. Elapsed time 0seconds.
Iteration #345. Elapsed time 0seconds.
Iteration #346. Elapsed time 0seconds.
Iteration #347. Elapsed time 0seconds.
Iteration #348. Elapsed time 0seconds.
Iteration #349. Elapsed time 0seconds.
Iteration #350. Elapsed time 0seconds.
Iteration #351. Elapsed time 0seconds.
Iteration #352. Elapsed time 0seconds.
Iteration #353. Elapsed time 0seconds.
Iteration #354. Elapsed time 0seconds.
Iteration #355. Elapsed time 0seconds.
Iteration #356. Elapsed time 0seconds.
Iteration #357. Elapsed time 0seconds.
Iteration #358. Elapsed time 0seconds.
Iteration #359. Elapsed time 0seconds.
Iteration #360. Elapsed time 0seconds.
Iteration #361. Elapsed time 0seconds.
Iteration #362. Elapsed time 0seconds.
Iteration #363. Elapsed time 0seconds.
Iteration #364. Elapsed time 0seconds.
Iteration #365. Elapsed time 0seconds.
Iteration #366. Elapsed time 0seconds.
Iteration #367. Elapsed time 0seconds.
Iteration #368. Elapsed time 0seconds.
Iteration #369. Elapsed time 0seconds.
Iteration #370. Elapsed time 0seconds.
Iteration #371. Elapsed time 0seconds.
Iteration #372. Elapsed time 0seconds.
Iteration #373. Elapsed time 0seconds.
Iteration #374. Elapsed time 0seconds.
Iteration #375. Elapsed time 0seconds.
Iteration #376. Elapsed time 0seconds.
Iteration #377. Elapsed time 0seconds.
Iteration #378. Elapsed time 0seconds.
Iteration #379. Elapsed time 0seconds.
Iteration #380. Elapsed time 0seconds.
Iteration #381. Elapsed time 0seconds.
Iteration #382. Elapsed time 0seconds.
Iteration #383. Elapsed time 0seconds.
Iteration #384. Elapsed time 0seconds.
Iteration #385. Elapsed time 0seconds.
Iteration #386. Elapsed time 0seconds.
